Item, Full Name, Kaha Use Hota Hai, Function
Dye Test,Dye Penetration Test,"Drainage, Waterproofing",Identifies leakage path using colored dye,
Vacuum Test,Vacuum Leak Test,Drainage & Sewer Pipeline,Checks pipeline airtightness,
Flushing Test,Pipeline Flushing Test,Water Supply Pipeline,Removes dirt and debris from pipes,
Disinfection Test,Chlorination Test,Drinking Water Pipeline,Disinfects water pipeline before use,
Pressure Drop Test,Pressure Drop Test,"Water, Gas, Fire Fighting",Checks pressure loss over time,
Pump Performance Test,Pump Performance Test,Pumps,"Verifies pump flow, head and efficiency",
Flow Test,Flow Rate Test,"Water Supply, Fire Fighting",Measures water discharge,
Fire Hydrant Test,Fire Hydrant Flow Test,Fire Fighting System,Checks hydrant pressure and flow,
Sprinkler Test,Sprinkler Performance Test,Fire Fighting System,Checks sprinkler operation,
Valve Test,Valve Operation Test,All Valves,"Checks opening, closing and leakage",
Backflow Test,Backflow Prevention Test,Backflow Preventer Assembly,Ensures no reverse flow,
Water Meter Test,Water Meter Accuracy Test,Water Meter,Checks meter accuracy,
Pressure Gauge Test,Pressure Gauge Calibration Test,"Pump Room, Pipeline",Verifies pressure gauge accuracy,
CCTV Inspection Test,CCTV Drain Inspection,Underground Sewer Line,Inspects inside pipeline using camera,
Manhole Test,Manhole Inspection Test,Sewer & Drainage System,Checks manhole condition and flow,
Gravity Flow Test,Gravity Flow Test,Drainage System,Checks slope and free flow,
Fixture Test,Sanitary Fixture Test,"Wash Basin, WC, Sink, Shower",Checks fixture operation and leakage,
Water Hammer Test,Water Hammer Test,Water Supply System,Checks surge pressure in pipelines,
CWS,Cold Water Supply,Water Supply Drawing,Supplies cold water,
HWS,Hot Water Supply,Hot Water System,Supplies hot water,
HWR,Hot Water Return,Hot Water Circulation,Returns hot water to heater,
DWS,Domestic Water Supply,Building Plumbing,Supplies domestic water,
PWS,Potable Water Supply,Drinking Water Line,Supplies drinking water,
FWS,Filtered Water Supply,RO/Filtered Water System,Supplies filtered water,
RWS,Raw Water Supply,Water Treatment Plant,Supplies untreated water,
FW,Flush Water,Toilet System,Supplies flushing water,
SW,Soil Waste,WC Drainage,Carries waste from WC,
WW,Waste Water,"Wash Basin, Sink, Shower",Carries wastewater,
VP,Vent Pipe,Drainage System,Removes sewer gases,
SVP,Soil Vent Pipe,Drainage System,Vents soil pipe,
RWP,Rain Water Pipe,Roof Drainage,Carries rainwater,
RWP-R,Rain Water Pipe (Rainwater Harvesting),RWH System,Transfers rainwater to harvesting pit,
SPD,Soil Pipe Down,Drainage,Vertical soil waste pipe,
WP,Waste Pipe,"Basin, Sink",Carries grey water,
FWP,Foul Water Pipe,Sewer System,Carries foul sewage,
STP,Sewage Treatment Plant,Sewage System,Treats sewage water,
ETP,Effluent Treatment Plant,Industrial Plant,Treats industrial wastewater,
WTP,Water Treatment Plant,Water Supply,Treats raw water,
RO,Reverse Osmosis,Drinking Water System,Purifies water,
UGT,Underground Water Tank,Building,Stores water underground,
OHT,Overhead Water Tank,Building Roof,Stores water above building,
HP,Hydro Pneumatic System,High Rise Building,Maintains water pressure,
CW,Chilled Water,HVAC,Carries chilled water,
CHWR,Chilled Water Return,HVAC,Returns chilled water,
CDW,Condenser Water,HVAC,Carries condenser water,
CDWR,Condenser Water Return,HVAC,Returns condenser water,
FF,Fire Fighting,Fire Protection,System for fire safety,
FH,Fire Hydrant,Fire Fighting,Provides firefighting water,
SP,Sprinkler Pipe,Fire Fighting,Supplies sprinklers,
HD,Hose Reel Downcomer,Fire Fighting,Supplies hose reels,
PVC Solvent Cement,Polyvinyl Chloride Solvent Cement,PVC Pipe & Fittings,Joins PVC pipes permanently,
UPVC Solvent Cement,Unplasticized PVC Solvent Cement,UPVC Pipe & Fittings,Bonds UPVC pipes leak-proof,
CPVC Solvent Cement,Chlorinated PVC Solvent Cement,CPVC Hot & Cold Water Pipes,Joins CPVC pipes permanently,
Heavy Duty PVC Cement,Heavy Duty PVC Solvent Cement,Large Diameter PVC Pipes,Provides strong pipe joints,
Medium Body PVC Cement,Medium Body PVC Cement,Medium Size PVC Pipes,Creates leak-proof joints,
Clear PVC Cement,Clear PVC Solvent Cement,PVC Plumbing,Transparent pipe bonding,
Blue PVC Cement,Blue Heavy Duty PVC Cement,"Wet Conditions, Pressure Pipe",Fast setting and high strength,
ABS Cement,Acrylonitrile Butadiene Styrene Cement,ABS Pipe & Fittings,Joins ABS plastic pipes,
Transition Cement,PVC-ABS Transition Cement,PVC to ABS Pipe,Joins different plastic pipe materials,
Pipe Primer,PVC/CPVC Primer,PVC & CPVC Pipes,Cleans and softens pipe surface before cementing,
CPVC Cleaner,CPVC Pipe Cleaner,CPVC Pipes,Removes dirt and grease before joining,
PVC Cleaner,PVC Pipe Cleaner,PVC Pipes,Cleans pipe before solvent application,
Thread Sealant,Liquid Thread Sealant,Threaded Pipe Joint,Seals threaded connections,
PTFE Tape,Polytetrafluoroethylene (Teflon) Tape,Threaded Pipe Joint,Prevents leakage in threaded joints,
Pipe Joint Compound,Pipe Joint Compound,"GI, MS, Brass Threaded Pipes",Provides leak-proof threaded joints,
Silicone Sealant,Silicone Sealant,Sanitary Fixtures,Seals gaps around fixtures,
Sanitary Silicone,Anti-Fungal Silicone Sealant,Bathroom & Kitchen,Prevents water leakage and fungus,
PU Sealant,Polyurethane Sealant,Expansion Joints,Seals movement joints,
Epoxy Adhesive,Two-Part Epoxy Adhesive,Metal & Plastic Pipe Repair,Repairs damaged pipes,
Epoxy Putty,Epoxy Repair Putty,Pipe Leakage Repair,Stops minor leaks,
Pipe Repair Clamp,Stainless Steel Repair Clamp,Leaking Water Pipe,Temporary leak repair,
Rubber Repair Tape,Self Fusing Silicone Tape,Emergency Pipe Repair,Temporary leak sealing,
Anaerobic Sealant,Anaerobic Thread Sealant,Metal Threaded Joints,Seals high-pressure threaded joints,
Pipe Clamp,Pipe Clamp,Wall Mounted Water Pipe,Supports and secures pipe,
U Clamp,U Clamp,"GI, CPVC, UPVC Pipe",Fixes pipe to wall or support,
Saddle Clamp,Pipe Saddle Clamp,Water Distribution Line,Holds pipe and provides branch support,
Split Clamp,Split Pipe Clamp,Wall & Ceiling Pipe,Secures pipe with easy installation,
Riser Clamp,Riser Pipe Clamp,Vertical Riser Pipe,Supports vertical pipe at each floor,
Clevis Hanger,Clevis Pipe Hanger,Horizontal Ceiling Pipe,Suspends pipe from ceiling,
Pipe Hanger,Pipe Hanger,Ceiling Mounted Pipe,Supports suspended pipeline,
Rod Hanger,Threaded Rod Hanger,Ceiling Pipe Support,Hangs pipe using threaded rod,
Loop Hanger,Loop Pipe Hanger,Light Duty Pipe,Holds small diameter pipes,
Band Hanger,Metal Band Hanger,PVC/CPVC Pipe,Supports lightweight pipe,
Adjustable Hanger,Adjustable Pipe Hanger,Plumbing & HVAC,Allows height adjustment,
Spring Hanger,Spring Pipe Hanger,Hot Water & Steam Pipe,Absorbs vibration and thermal expansion,
Roller Support,Pipe Roller Support,Long Pipeline,Allows pipe movement due to expansion,
Guide Support,Pipe Guide Support,Long Straight Pipeline,Guides pipe movement in one direction,
Anchor Support,Pipe Anchor Support,Main Pipeline,Prevents pipe movement,
Pipe Shoe,Pipe Shoe,Industrial Pipeline,Protects pipe at support point,
Trunnion Support,Trunnion Pipe Support,Heavy Industrial Pipe,Supports heavy pipelines,
Channel Support,Unistrut Channel Support,Multiple Pipe Installation,Supports multiple pipes together,
Cantilever Bracket,Cantilever Pipe Bracket,Wall Mounted Pipe,Supports pipe away from wall,
L Bracket,L Shape Support Bracket,Small Pipe Support,Provides wall support,
U Bolt,U Bolt Clamp,Pipe Rack,Secures pipe to support frame,
Beam Clamp,Beam Clamp,Steel Structure,Connects support to steel beam,
Anchor Bolt,Anchor Fastener,Concrete Floor/Wall,Fixes support to concrete,
Pipe Sleeve,PVC/MS Pipe Sleeve,Wall & Slab Crossing,Protects pipe passing through wall/slab,
Escutcheon Plate,Escutcheon Pipe Cover,"Basin, WC, Shower",Covers wall opening around pipe,
Rubber Lined Clamp,Rubber Lined Pipe Clamp,HVAC & Chilled Water Pipe,Reduces vibration and noise,
Insulation Clamp,Insulated Pipe Clamp,Hot & Cold Water Pipe,Supports insulated pipe without damage,
Heavy Duty Clamp,Heavy Duty Pipe Clamp,Large Diameter Pipe,Supports heavy pipelines,
Double Pipe Clamp,Double Pipe Clamp,Parallel Pipe Installation,Holds two pipes together,
Three Way Clamp,Triple Pipe Clamp,Multiple Pipe Routing,Supports three pipes together,
Bourdon Tube Gauge,Bourdon Tube Pressure Gauge,"Water Supply, Pump, Fire Fighting",Measures positive pressure,
Digital Pressure Gauge,Digital Pressure Gauge,"HVAC, Water Supply, Industrial",Displays accurate digital pressure,
Glycerin Filled Gauge,Glycerin Filled Pressure Gauge,"Pump Room, Vibrating Equipment",Reduces needle vibration and gives stable reading,
Dry Pressure Gauge,Dry Pressure Gauge,General Plumbing,Measures pressure in normal conditions,
Differential Pressure Gauge,Differential Pressure Gauge,"HVAC, Filter, Pump",Measures pressure difference between two points,
Vacuum Gauge,Vacuum Pressure Gauge,"Suction Line, Vacuum Pump",Measures vacuum (negative pressure),
Compound Gauge,Compound Pressure Gauge,Pump Suction & Discharge,Measures both vacuum and pressure,
Test Pressure Gauge,Test Pressure Gauge,"Hydro Test, Pressure Testing",Checks pipeline test pressure accurately,
Low Pressure Gauge,Low Pressure Gauge,Domestic Water System,Measures low pressure,
High Pressure Gauge,High Pressure Gauge,"Fire Fighting, Boiler, Industrial",Measures high pressure,
Capsule Pressure Gauge,Capsule Pressure Gauge,Low Pressure Air & Gas,Measures very low pressure,
Diaphragm Pressure Gauge,Diaphragm Pressure Gauge,"Chemical, Slurry, Corrosive Fluids",Measures pressure of corrosive or dirty fluids,
Absolute Pressure Gauge,Absolute Pressure Gauge,"Laboratory, Research",Measures pressure relative to absolute vacuum,
PS,Plumbing Shaft,Residential & Commercial Building,Vertical shaft for plumbing services,
TS,Toilet Shaft,Behind Toilet Block,Carries water supply and drainage pipes,
Service Shaft,Service Shaft,High Rise Building,Provides space for all MEP services,
Pipe Shaft,Pipe Shaft,Multi-storey Building,Accommodates vertical plumbing pipes,
Riser Shaft,Riser Shaft,Building Core,Carries vertical riser pipes,
Wet Shaft,Wet Service Shaft,Bathroom & Kitchen Area,Contains water and drainage pipes,
Dry Shaft,Dry Service Shaft,Electrical & Telecom Area,Carries dry utility services,
Fire Shaft,Fire Fighting Shaft,High Rise Building,Carries fire fighting pipes,
Electrical Shaft,Electrical Shaft,Building Core,Carries electrical cables and bus ducts,
HVAC Shaft,HVAC Service Shaft,Commercial Building,Carries chilled water and AC ducts,
Vent Shaft,Ventilation Shaft,Toilet & Kitchen,Removes foul air and sewer gases,
Garbage Shaft,Garbage Chute Shaft,Residential Tower,Transfers waste to collection room,
Duct Shaft,MEP Duct Shaft,Commercial Building,"Carries ducts, pipes and cables",
Lift Shaft,Elevator Shaft,Building Core,Houses elevator system,
Refuge Shaft,Refuge Area Shaft,High Rise Building,Provides safe access near refuge floor,
Access Door,Shaft Access Door,Each Floor,Provides maintenance access to shaft,
Sleeve Pipe,Pipe Sleeve at Slab,Wall & Slab Crossing,Protects pipe passing through slab/wall,
Fire Stop,Fire Stop Sealant,Shaft Floor Opening,Prevents spread of fire and smoke,
Pipe Support,Riser Pipe Support,Inside Shaft,Supports vertical pipes,
Riser Clamp,Riser Pipe Clamp,Inside Shaft,Holds vertical pipes at every floor,
Floor Sleeve,Floor Sleeve,Slab Penetration,Protects pipe and allows movement,
Waterproof Seal,Waterproof Seal,Toilet & Wet Shaft,Prevents water leakage around pipe,
VC,Valve Chamber,Underground Water Supply,Provides access to underground valves,
Sluice Valve Chamber,Sluice Valve Chamber,Main Water Supply Line,Isolates water supply section,
Gate Valve Chamber,Gate Valve Chamber,Water Distribution Line,ON/OFF control of main pipeline,
Butterfly Valve Chamber,Butterfly Valve Chamber,Large Diameter Water Line,Quick isolation of pipeline,
Air Valve Chamber,Air Release Valve Chamber,High Point of Water Pipeline,Releases trapped air,
Scour Valve Chamber,Scour (Drain) Valve Chamber,Lowest Point of Water Line,Drains pipeline for maintenance,
PRV Chamber,Pressure Reducing Valve Chamber,High Pressure Water Supply,Reduces water pressure,
NRV Chamber,Non Return Valve Chamber,Pump Discharge Line,Prevents reverse water flow,
Flow Meter Chamber,Flow Meter Chamber,Main Water Line,Measures water flow,
Water Meter Chamber,Water Meter Chamber,Building Water Inlet,Measures water consumption,
Hydrant Valve Chamber,Fire Hydrant Valve Chamber,Fire Fighting Network,Controls fire hydrant supply,
Isolation Valve Chamber,Isolation Valve Chamber,Water Distribution Network,Isolates a section for repair,
Control Valve Chamber,Control Valve Chamber,Water Treatment Plant,Regulates water flow,
Washout Valve Chamber,Washout Valve Chamber,Water Main Pipeline,Flushes dirt and sediments,
Sampling Chamber,Water Sampling Chamber,Water Supply Network,Collects water samples for testing,
Inspection Chamber,Inspection Chamber,Drainage System,Provides access for inspection and cleaning,
Manhole Chamber,Manhole Chamber,Sewer Network,Access to underground sewer line,
Drain Valve Chamber,Drain Valve Chamber,Pipeline End,Drains water from pipeline,
Valve Box,Valve Box,Cover Above Underground Valve,Protects valve and provides access,
CI Cover,Cast Iron Chamber Cover,Valve Chamber,Covers chamber safely,
RCC Chamber,Reinforced Cement Concrete Chamber,Underground Valve,Protects valve structure,
Step Iron,Step Iron,Inside Deep Chamber,Provides safe access for maintenance,
Ladder,MS/SS Ladder,Deep Valve Chamber,Allows entry into chamber,
WB,Wash Basin,Bathroom,Hand washing fixture,
WC,Water Closet,Toilet,Human waste disposal,
EWC,European Water Closet,Bathroom,Western style toilet,
IWC,Indian Water Closet,Toilet,Indian style toilet,
WHB,Wall Hung Basin,Bathroom,Wall-mounted wash basin,
KS,Kitchen Sink,Kitchen,Washing utensils,
SS,Sink Service / Stainless Steel Sink,Kitchen / Utility,General washing,
UR,Urinal,Public Toilet,Urine disposal,
SH,Shower,Bathroom,Bathing fixture,
HS,Hand Shower,Bathroom,Handheld shower,
HF,Health Faucet,WC,Personal cleaning,
BT,Bathtub,Bathroom,Bathing,
FD,Floor Drain,Bathroom,Collects floor water,
FT,Floor Trap,Bathroom,Prevents sewer gas,
GT,Gully Trap,Outside Building,Collects wastewater,
BT,Bottle Trap,Wash Basin,Prevents sewer gas,
PT,P Trap,"Wash Basin, WC",Water seal trap,
ST,S Trap,Floor Mounted WC,Water seal trap,
CO,Cleanout,Drainage,Access for pipe cleaning,
IC,Inspection Chamber,Drainage,Inspection and maintenance,
MH,Manhole,Sewer Line,Access to underground sewer,
VP,Vent Pipe,Drainage,Removes sewer gases,
SVP,Soil Vent Pipe,Drainage,Vents soil pipe,
SWP,Soil Waste Pipe,Toilet,Carries soil waste,
WWP,Waste Water Pipe,"Basin, Sink, Shower",Carries wastewater,
RWP,Rain Water Pipe,Roof Drainage,Drains rainwater,
CWS,Cold Water Supply,Water Supply,Supplies cold water,
HWS,Hot Water Supply,Hot Water System,Supplies hot water,
HWR,Hot Water Return,Hot Water System,Returns hot water,
DWS,Domestic Water Supply,Building,Supplies domestic water,
FW,Flush Water,WC,Flush water supply,
UGT,Underground Water Tank,Basement,Stores water,
OHT,Overhead Water Tank,Roof,Stores water,
STP,Sewage Treatment Plant,Utility Area,Treats sewage,
WTP,Water Treatment Plant,Utility Area,Treats raw water,
HP,Hydro Pneumatic System,Pump Room,Maintains pressure,
P,Pump,Pump Room,Pumps water,
GV,Gate Valve,Water Supply,Isolates pipeline,
BV,Ball Valve,Water Supply,ON/OFF flow,
BFV,Butterfly Valve,Large Pipeline,ON/OFF flow,
NRV,Non Return Valve,Pump Line,Prevents reverse flow,
PRV,Pressure Reducing Valve,Water Supply,Reduces pressure,
ARV,Air Release Valve,Water Pipeline,Releases trapped air,
FM,Flow Meter,Main Water Line,Measures water flow,
WM,Water Meter,Building Inlet,Measures water consumption,
PG,Pressure Gauge,Pump Room,Measures pressure,
FH,Fire Hydrant,Fire Fighting,Fire water outlet,
SP,Sprinkler,Fire Fighting,Automatic fire suppression,
HR,Hose Reel,Fire Fighting,Manual firefighting,
FS,Fire Shaft,Building Core,Carries fire pipes,
PS,Plumbing Shaft,Building Core,Carries plumbing pipes,
CS,Cleanout Shaft,Drainage,Provides cleaning access,
EWC,European Water Closet,Toilet,Human waste disposal,
Concealed Cistern,Concealed Flush Cistern,Behind WC Wall,Stores and supplies flush water,
Health Faucet,Health Faucet (Jet Spray),Beside WC,Personal cleaning after toilet,
Angle Cock,Angle Cock,"Wash Basin, WC, Geyser",ON/OFF water supply to fixture,
Toilet Paper Holder,Toilet Paper Holder,Beside WC,Holds toilet paper roll,
Dust Bin,Dust Bin,"Toilet, Washroom",Collects waste,
Urinal,Wall Hung Urinal,Public Toilet,Urine disposal,
Flush Cock,Flush Cock,"Urinal, WC",Controls flushing water,
Waste Coupling,Waste Coupling,"Wash Basin, Sink",Connects basin outlet to trap,
PVC Flexible Pipe,PVC Flexible Waste Pipe,"Wash Basin, Sink",Connects waste outlet to drainage,
Under Counter Wash Basin,Under Counter Wash Basin,Bathroom Vanity,Hand washing fixture,
Waste Coupling,Waste Coupling,Wash Basin,Connects basin outlet to bottle trap,
Bottle Trap,Bottle Trap,Under Wash Basin,Prevents sewer gas and collects debris,
Pillar Tap,Pillar Tap,Wash Basin,Controls water flow,
Angle Cock,Angle Cock,Below Wash Basin,Controls water supply to tap,
Liquid Soap Dispenser,Liquid Soap Dispenser,Wash Basin,Dispenses liquid soap,
Overhead Shower,Overhead Shower,Bathroom,Provides shower spray,
Shower Arm,Shower Arm,Bathroom,Supports overhead shower,
Spout,Bath Spout,Bathroom,Delivers water to bucket/bathtub,
Geyser,Water Heater (Geyser),Bathroom,Heats water,
Towel Rail,Towel Rail,Bathroom,Holds towels,
Diverter,Wall Diverter,Bathroom,Diverts water between shower and spout,
Twin Coat Hook,Twin Coat Hook,Bathroom,Hangs clothes and towels,
SS Grating 150×150,Stainless Steel Floor Grating 150×150 mm,Bathroom Floor,Covers floor drain and filters debris,
Hand Dryer,Electric Hand Dryer,Public Washroom,Dries hands using air,
Paper Towel Dispenser,Paper Towel Dispenser,Public Washroom,Holds and dispenses paper towels,
Angle Valve for Geyser,Angle Valve,Geyser Water Connection,Controls water supply to geyser,
Bib Cock,Bib Cock,Janitor Room,Water outlet for cleaning,
Braided Hose Pipe 600 mm,Stainless Steel Braided Flexible Hose (600 mm),"Wash Basin, Geyser, WC",Flexible water connection between valve and fixture,
HDPE Pipe,High Density Polyethylene Pipe,Underground Water Supply,Transports water safely,
HDPE Coil,High Density Polyethylene Coil,Domestic Water Supply,Flexible water distribution,
HDPE Electrofusion Coupler,Electrofusion Coupler,HDPE Pipe Joint,Joins HDPE pipes using electric fusion,
HDPE Butt Fusion Joint,Butt Fusion Joint,HDPE Main Pipeline,Permanent leak-proof pipe joint,
HDPE Compression Fitting,Compression Fitting,Small HDPE Pipe,Quick mechanical pipe connection,
HDPE Elbow,HDPE 90°/45° Elbow,Water Supply Line,Changes pipe direction,
HDPE Tee,HDPE Tee,Water Distribution,Takes branch connection,
HDPE Reducer,HDPE Reducer,Different Pipe Sizes,Reduces pipe size,
HDPE End Cap,HDPE End Cap,End of Pipeline,Closes pipe end,
HDPE Flange Adapter,HDPE Flange Adapter,Valve & Pump Connection,Connects HDPE pipe to flange,
HDPE Stub End,HDPE Stub End,Flanged Joint,Used with backing flange,
HDPE Backing Ring,GI/MS Backing Ring,Flange Connection,Supports flange joint,
HDPE Saddle,HDPE Service Saddle,Branch Connection,Takes outlet from main pipe,
HDPE Ball Valve,HDPE Ball Valve,HDPE Water Line,ON/OFF water flow,
HDPE Repair Clamp,HDPE Repair Clamp,Damaged Pipeline,Temporary leak repair,
Air Release Valve,Air Release Valve,Water Supply Pipeline,Releases trapped air from pipeline,
Air Vent,Automatic Air Vent,Hot Water & HVAC Line,Removes trapped air automatically,
Anchor Bolt,Anchor Fastener,Pipe Support Installation,Fixes supports to concrete,
Angle Cock,Angle Cock,"Wash Basin, WC, Geyser",Controls water supply to fixture,
Angle Valve,Angle Valve,"Geyser, Basin, WC",ON/OFF water supply,
Automatic Float Valve,Automatic Float Valve,Water Tank,Maintains tank water level automatically,
Ball Valve,Ball Valve,Water Supply Pipeline,ON/OFF water flow,
Ball Cock,Float Ball Cock,Overhead Water Tank,Controls water level,
Basin Mixer,Basin Mixer Tap,Wash Basin,Mixes hot and cold water,
Bath Spout,Bath Spout,Bathroom,Delivers water to bucket or bathtub,
Bib Cock,Bib Cock,"Garden, Bathroom, Janitor Room",Provides water outlet,
Bottle Trap,Bottle Trap,Under Wash Basin,Prevents sewer gas and collects debris,
Braided Hose Pipe,Stainless Steel Braided Flexible Hose,"Basin, WC, Geyser",Flexible water connection,
Brass Nipple,Brass Pipe Nipple,Threaded Pipe Connection,Connects threaded fittings,
Butterfly Valve,Butterfly Valve,Large Diameter Pipeline,Controls water flow,
Bush,Reducer Bush,Different Size Pipe,Connection between different pipe sizes,
Cap,Pipe End Cap,End of Pipeline,Closes pipe end,
Check Valve,Check Valve (NRV),Pump Discharge Line,Prevents reverse flow,
CI Cover,Cast Iron Cover,"Manhole, Valve Chamber",Covers underground chamber,
Cleanout,Cleanout,Drainage Pipeline,Provides access for pipe cleaning,
Compression Fitting,Compression Pipe Fitting,HDPE Pipe,Joins HDPE pipe mechanically,
Concealed Cistern,Concealed Flush Cistern,Behind WC Wall,Stores flush water,
Coupling,Pipe Coupling,Pipe Joint,Joins two pipes,
CPVC Pipe,Chlorinated Polyvinyl Chloride Pipe,Hot & Cold Water Supply,Transports hot and cold water,
Cross,Cross Fitting,Four-Way Pipe Junction,Connects four pipelines,
Die Set,Pipe Threading Die Set,GI Pipe,Cuts external pipe threads,
DI Pipe,Ductile Iron Pipe,Underground Water Supply,Heavy-duty water transportation,
Drain Cock,Drain Cock,Pump & Water Tank,Drains water from system,
Drain Valve,Drain Valve,Water Supply Line,Drains water for maintenance,
Drum Trap,Drum Trap,Bathtub Drainage,Provides water seal and traps debris,
Elbow 45°,45 Degree Elbow,Pipeline,Changes pipe direction by 45°,
Elbow 90°,90 Degree Elbow,Pipeline,Changes pipe direction by 90°,
End Cap,Pipe End Cap,End of Pipe,Closes pipe end,
Escutcheon Plate,Pipe Cover Plate,"Wash Basin, WC",Covers pipe opening in wall,
Expansion Joint,Rubber/Metal Expansion Joint,Long Pipeline,Absorbs thermal expansion,
Ferrule,Brass Ferrule,Water Distribution,Takes service connection from main line,
Filter,Y Type Strainer,Pump Inlet,Removes dirt and debris,
Fire Hydrant,Fire Hydrant,Fire Fighting System,Provides water for firefighting,
Fire Hose Reel,Fire Hose Reel,Fire Fighting System,Manual firefighting,
Fire Pump,Fire Fighting Pump,Fire Pump Room,Supplies water to fire system,
Float Valve,Float Valve,Water Tank,Automatically controls water level,
Floor Drain,Floor Drain,Bathroom Floor,Collects floor water,
Floor Trap,Floor Trap (FT),Bathroom,Prevents sewer gas,
Flow Meter,Flow Meter,Main Water Line,Measures water flow,
Flush Valve,Flush Valve,"WC, Urinal",Controls flushing water,
Flush Tank,Flush Cistern,Toilet,Stores flushing water,
Foot Valve,Foot Valve,Pump Suction Line,Prevents reverse flow and keeps pump primed,
Gate Valve,Gate Valve,Water Supply Pipeline,ON/OFF water flow,
Geyser,Water Heater,Bathroom,Heats water,
GI Pipe,Galvanized Iron Pipe,Water Supply,Transports water,
GI Elbow,GI Elbow,GI Pipeline,Changes direction,
GI Tee,GI Tee,GI Pipeline,Takes branch connection,
GI Union,GI Union,GI Threaded Pipe,Allows easy pipe disconnection,
GI Socket,GI Socket,GI Pipe,Joins two threaded pipes,
Globe Valve,Globe Valve,Water Line,Regulates water flow,
Grease Trap,Grease Trap,Kitchen Drainage,Separates grease from wastewater,
Gully Trap,Gully Trap (GT),Outside Building,Collects wastewater and blocks sewer gas,
Hammer Arrestor,Water Hammer Arrestor,Water Supply Line,Reduces pressure surge,
Hand Shower,Hand Shower,Bathroom,Handheld shower for bathing,
Health Faucet,Health Faucet (Jet Spray),WC,Personal cleaning after toilet,
HDPE Pipe,High Density Polyethylene Pipe,Underground Water Supply,Transports water safely,
HDPE Elbow,HDPE 90° Elbow,HDPE Pipeline,Changes pipe direction,
HDPE Tee,HDPE Tee,HDPE Water Line,Takes branch connection,
HDPE Coupler,HDPE Coupling,HDPE Pipe,Joins two HDPE pipes,
HDPE Reducer,HDPE Reducer,Different Size HDPE Pipe,Reduces pipe size,
HDPE End Cap,HDPE End Cap,End of HDPE Pipe,Closes pipe end,
HDPE Flange Adapter,HDPE Flange Adapter,Valve & Pump Connection,Connects HDPE pipe to flange,
Hose Bib Cock,Hose Bib Cock,"Garden, Car Wash",Provides hose connection,
Hose Reel,Fire Hose Reel,Fire Fighting System,Manual firefighting,
Inspection Chamber,Inspection Chamber (IC),Drainage System,Inspection and cleaning access,
Kitchen Sink,Kitchen Sink,Kitchen,Washing utensils,
Manhole,Manhole (MH),Sewer Line,Access to underground sewer,
Non Return Valve,NRV (Non Return Valve),Pump Discharge,Prevents reverse flow,
Needle Valve,Needle Valve,Instrumentation Line,Controls low flow accurately,
Nipple,Pipe Nipple,Threaded Pipe Joint,Connects threaded fittings,
OHT,Overhead Water Tank,Building Roof,Stores water,
Oil Trap,Oil Trap,Garage & Workshop,Separates oil from wastewater,
P Trap,P Trap,Wash Basin & WC,Prevents sewer gas,
Pipe Clamp,Pipe Clamp,Wall Mounted Pipe,Supports pipe,
Pipe Hanger,Pipe Hanger,Ceiling Mounted Pipe,Suspends pipeline,
Pipe Sleeve,Pipe Sleeve,Wall & Slab Crossing,Protects pipe through wall/slab,
Pipe Shoe,Pipe Shoe,Industrial Pipeline,Protects pipe at support point,
Pressure Gauge,Pressure Gauge,Pump Room,Measures pipeline pressure,
Pressure Reducing Valve,PRV (Pressure Reducing Valve),Water Supply,Reduces high pressure,
PVC Pipe,Polyvinyl Chloride Pipe,Drainage & Water Supply,Transports water,
PVC Elbow,PVC 90° Elbow,PVC Pipeline,Changes pipe direction,
PVC Tee,PVC Tee,PVC Pipeline,Takes branch connection,
PVC Socket,PVC Coupling Socket,PVC Pipe,Joins two PVC pipes,
PVC Solvent,PVC Solvent Cement,PVC Pipe Joint,Bonds PVC pipes permanently,
Pump,Centrifugal Water Pump,Water Supply System,Pumps water from one place to another,
Rain Water Pipe,Rain Water Pipe (RWP),Roof Drainage,Carries rainwater to drain,
Reducer,Pipe Reducer,Different Size Pipes,Reduces pipe diameter,
Reducer Tee,Reducer Tee,Pipeline Branch,Takes branch with different pipe size,
Rubber Gasket,Rubber Gasket,Flange Joint,Provides leak-proof sealing,
Riser Clamp,Riser Pipe Clamp,Vertical Pipe,Supports riser pipe,
Roller Support,Pipe Roller Support,Long Pipeline,Allows thermal expansion movement,
Saddle Clamp,Pipe Saddle Clamp,Water Distribution,Takes branch from main pipe,
Sanitary Silicone,Sanitary Silicone Sealant,"Wash Basin, WC, Sink",Seals joints and prevents leakage,
S Trap,S Trap,Floor Mounted WC,Prevents sewer gas,
Shower,Overhead Shower,Bathroom,Provides water for bathing,
Shower Arm,Shower Arm,Bathroom,Supports overhead shower,
Shower Mixer,Shower Mixer,Bathroom,Mixes hot and cold water,
Silicone Sealant,Silicone Sealant,Sanitary Fixtures,Seals gaps and joints,
Sink Cock,Sink Cock,Kitchen Sink,Controls water flow,
Soap Dispenser,Liquid Soap Dispenser,Wash Basin,Dispenses liquid soap,
Soil Pipe,Soil Waste Pipe (SWP),WC Drainage,Carries soil waste,
Spout,Bath Spout,Bathroom,Provides water outlet,
Sprinkler,Fire Sprinkler,Fire Fighting System,Automatically extinguishes fire,
Stop Cock,Stop Cock,Main Water Line,Stops water supply,
Submersible Pump,Submersible Water Pump,Borewell & Sump,Pumps underground water,
